SMILES,Dataset,ID,Fragments,Software,Software_Score,NEW_SMILES
CC1CCN(CC1)OCNCN(CC(=O)Nc1cccc(c1)-n1cccc1)C(=O)C1CC1,ACTIVE01,ABACT01_01,DNMT1 actives,alvaBuilder,1.0,CC1CCN(OCNCN(CC(=O)Nc2cccc(-n3cccc3)c2)C(=O)C2CC2)CC1
Oc1ccc(cc1)C(=O)N(CC1CCNCC1)CC(=O)Nc1cccc(c1)-n1cccc1,ACTIVE01,ABACT01_02,DNMT1 actives,alvaBuilder,1.0,O=C(CN(CC1CCNCC1)C(=O)c1ccc(O)cc1)Nc1cccc(-n2cccc2)c1
OCC(COCCCc1cn(nc1C=NNC(=O)c1cc(cc(c1)O)O)-c1ccccc1)Cc1ccco1,ACTIVE01,ABACT01_03,DNMT1 actives,alvaBuilder,1.0,O=C(NN=Cc1nn(-c2ccccc2)cc1CCCOCC(CO)Cc1ccco1)c1cc(O)cc(O)c1
CCc1ccc(o1)C1C(SCF)C(CO)OC1n1cnc2c(ncnc12)O,ACTIVE01,ABACT01_04,DNMT1 actives,alvaBuilder,1.0,CCc1ccc(C2C(SCF)C(CO)OC2n2cnc3c(=O)[nH]cnc32)o1
Oc1cc(cc(c1)C(=O)NN=CCCCOCc1ccco1)CCOC(=O)CCCN1CCCC1,ACTIVE01,ABACT01_05,DNMT1 actives,alvaBuilder,1.0,O=C(CCCN1CCCC1)OCCc1cc(O)cc(C(=O)NN=CCCCOCc2ccco2)c1
O=C(CN(CC1CCNCC1)C(=O)c1ccc(cc1)-c1ccco1)Nc1cccc(c1)-n1cccc1,ACTIVE01,ABACT01_06,DNMT1 actives,alvaBuilder,1.0,O=C(CN(CC1CCNCC1)C(=O)c1ccc(-c2ccco2)cc1)Nc1cccc(-n2cccc2)c1
OCCCOC1=CC(=CN2C(=O)c3c(scc3C3=CCCCC3)N=C12)N(=O)=O,ACTIVE01,ABACT01_07,DNMT1 actives,alvaBuilder,1.0,O=c1c2c(C3=CCCCC3)csc2nc2c(OCCCO)cc([N+](=O)[O-])cn12
CC(=O)Oc1cc(c2cc(c(cc2n1)Nc1cccc(c1)C)OCCCN1CCCC1)CO,ACTIVE01,ABACT01_08,DNMT1 actives,alvaBuilder,1.0,CC(=O)Oc1cc(CO)c2cc(OCCCN3CCCC3)c(Nc3cccc(C)c3)cc2n1
CCCc1cccc(c1)N1CC2(CC1NC=O)CC(=NO2)C(=O)c1cc(ccc1O)OC=O,ACTIVE01,ABACT01_09,DNMT1 actives,alvaBuilder,1.0,CCCc1cccc(N2CC3(CC(C(=O)c4cc(OC=O)ccc4O)=NO3)CC2NC=O)c1
CSCC(=O)ONC(=O)c1ccc(o1)COc1ccccc1Cl,ACTIVE01,ABACT01_10,DNMT1 actives,alvaBuilder,1.0,CSCC(=O)ONC(=O)c1ccc(COc2ccccc2Cl)o1
CCCCNc1cc2nc(cc(c2cc1OCCCN1CCC(F)C1)CO)-c1ccc(o1)C,ACTIVE01,ABACT01_11,DNMT1 actives,alvaBuilder,1.0,CCCCNc1cc2nc(-c3ccc(C)o3)cc(CO)c2cc1OCCCN1CCC(F)C1
CC1CCN(CC1)Nc1cc2nc(cc(c2cc1OCCCN1CCCC1)O)CO,ACTIVE01,ABACT01_12,DNMT1 actives,alvaBuilder,1.0,CC1CCN(Nc2cc3[nH]c(CO)cc(=O)c3cc2OCCCN2CCCC2)CC1
O=CNC1CC2(CN1c1cccc(c1)N1CCCC1)CC(=NO2)OCCCN1CCCC1,ACTIVE01,ABACT01_13,DNMT1 actives,alvaBuilder,1.0,O=CNC1CC2(CC(OCCCN3CCCC3)=NO2)CN1c1cccc(N2CCCC2)c1
Cc1ccc(o1)-c1cc(c2cc(c(cc2n1)Nc1cccc(c1)F)OCCCN1CCCC1)CO,ACTIVE01,ABACT01_14,DNMT1 actives,alvaBuilder,1.0,Cc1ccc(-c2cc(CO)c3cc(OCCCN4CCCC4)c(Nc4cccc(F)c4)cc3n2)o1
OC1Oc2cc(cc(c2CC1OC(=O)N1CCCC1)O)-c1cc(c(c(c1)O)O)O,ACTIVE01,ABACT01_15,DNMT1 actives,alvaBuilder,1.0,O=C(OC1Cc2c(O)cc(-c3cc(O)c(O)c(O)c3)cc2OC1O)N1CCCC1
CCCC(=O)OCCc1cc(cc(c1)C(=O)NN=CCCCOCC1CC1)O,ACTIVE01,ABACT01_16,DNMT1 actives,alvaBuilder,1.0,CCCC(=O)OCCc1cc(O)cc(C(=O)NN=CCCCOCC2CC2)c1
OCc1cc(c2cc(c(cc2n1)NN1CCC(F)CC1)OCCCN1CCC2(CC2)C1)O,ACTIVE01,ABACT01_17,DNMT1 actives,alvaBuilder,1.0,O=c1cc(CO)[nH]c2cc(NN3CCC(F)CC3)c(OCCCN3CCC4(CC4)C3)cc12
Cc1ccc(o1)C=CC(=O)Nc1cc(ccc1C)-c1ccc(o1)OC=O,ACTIVE01,ABACT01_18,DNMT1 actives,alvaBuilder,1.0,Cc1ccc(C=CC(=O)Nc2cc(-c3ccc(OC=O)o3)ccc2C)o1
CC1CCN(CC1)NC1C(OCCCN2CCCC2)C(CO)OC1c1ccc(o1)C,ACTIVE01,ABACT01_19,DNMT1 actives,alvaBuilder,1.0,Cc1ccc(C2OC(CO)C(OCCCN3CCCC3)C2NN2CCC(C)CC2)o1
O=C(CN(Cc1ccccc1)C(=O)Oc1cc2ccccc2o1)Nc1cccc(c1)-n1cccc1,ACTIVE01,ABACT01_20,DNMT1 actives,alvaBuilder,1.0,O=C(CN(Cc1ccccc1)C(=O)Oc1cc2ccccc2o1)Nc1cccc(-n2cccc2)c1
CC1CCN(CC1)Nc1cc2nc(cc(c2cc1OCCCN1CCCC1)CO)C,ACTIVE01,ABACT01_21,DNMT1 actives,alvaBuilder,1.0,Cc1cc(CO)c2cc(OCCCN3CCCC3)c(NN3CCC(C)CC3)cc2n1
OCc1cc(nc2cc(c(cc12)C(=O)C=CC=CCN1CCCC1)NO)C1CCNCC1,ACTIVE01,ABACT01_22,DNMT1 actives,alvaBuilder,1.0,O=Cc1cc(C2CCNCC2)nc2cc(NO)c(C(=O)CCC=CCN3CCCC3)cc12
CNc1cc(c2cc(c(cc2n1)NN1CCC(C)CC1)OCCCN1CCCC1)O,ACTIVE01,ABACT01_23,DNMT1 actives,alvaBuilder,1.0,CNc1cc(=O)c2cc(OCCCN3CCCC3)c(NN3CCC(C)CC3)cc2[nH]1
Oc1cc(cc(c1)C(=O)NN=Cc1nn(cc1CCCOOc1cc2ccccc2o1)-c1ccccc1)O,ACTIVE01,ABACT01_24,DNMT1 actives,alvaBuilder,1.0,O=C(NN=Cc1nn(-c2ccccc2)cc1CCCOOc1cc2ccccc2o1)c1cc(O)cc(O)c1
Cn1cnc2c(nc(nc12)N1CCCCC1)-c1ccc(c(c1)O)CCO,ACTIVE01,ABACT01_25,DNMT1 actives,alvaBuilder,1.0,Cn1cnc2c(-c3ccc(CCO)c(O)c3)nc(N3CCCCC3)nc21
Cc1ccc(cc1)-c1cc(c2cc(c(cc2n1)CCOC=O)OCCCC=O)O,ACTIVE01,ABACT01_26,DNMT1 actives,alvaBuilder,1.0,Cc1ccc(-c2cc(=O)c3cc(OCCCC=O)c(CCOC=O)cc3[nH]2)cc1
COC(=O)CC1C2SCC(=C(Cl)N2C1=O)NC(=O)c1cc(c2ccc(cc2n1)CC(C)C)C=O,ACTIVE01,ABACT01_27,DNMT1 actives,alvaBuilder,1.0,COC(=O)CC1C(=O)N2C(Cl)C(=NC(=O)c3cc(C=O)c4ccc(CC(C)C)cc4n3)CSC12
Oc1cc(cc2c1CC(C(O2)N1CCCC1)c1cccc(c1)-n1cccc1)N(=O)=O,ACTIVE01,ABACT01_28,DNMT1 actives,alvaBuilder,1.0,O=[N+]([O-])c1cc(O)c2c(c1)OC(N1CCCC1)C(c1cccc(-n3cccc3)c1)C2
