smiles,scaffold,IC50,std_units,pIC50,alogp,hba,hbd,full_mwt,num_ro5_violations,psa,heavy_atoms,document_chembl_id,molecule_chembl_id,Scores_Ledock,Scores_Vina,Scores_MOE
O=C(NCCSSCCNC(=O)/C(Cc1ccc(O)c(Br)c1)=N/O)/C(Cc1ccc(O)c(Br)c1)=N/O,N=C(Cc1ccccc1)C(=O)NCCSSCCNC(=O)C(=N)Cc1ccccc1,18.6,nM,7.730487056,3.68,10,6,664.4,2,163.84,36,CHEMBL2046381,CHEMBL83747,-10.33,-8.252,-8.8198833
COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OC1CC2(C1)CN(C)C2,c1coc(-c2cc(NC3CCNCC3)c3ccc(OC4CC5(CNC5)C4)cc3n2)c1,21,nM,7.677780705,4.79,7,1,476.62,0,63,35,CHEMBL4190398,CHEMBL4215326,-8.48,-9.769,-8.7973843
COc1cc2c(NCC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1coc(-c2cc(NCC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,32,nM,7.494850022,5.43,7,1,492.66,1,63,36,CHEMBL4190398,CHEMBL4208004,-8.54,-9.143,-9.3935375
CCc1ccc(-c2cc(NCC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1,c1coc(-c2cc(NCC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,40,nM,7.397940009,5.68,7,1,506.69,2,63,37,CHEMBL4190398,CHEMBL4212905,-8.27,-8.966,-9.4788237
COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCC1CCNCC1,c1coc(-c2cc(NC3CCNCC3)c3ccc(OCC4CCNCC4)cc3n2)c1,73,nM,7.13667714,4.7,7,2,464.61,0,71.79,34,CHEMBL4190398,CHEMBL4208010,-8.57,-9.923,-8.8968105
CCc1ccc(-c2cc(NCC3C4CCC3CN(C)C4)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1,c1coc(-c2cc(NCC3C4CCC3CNC4)c3ccc(OCCCN4CCCC4)cc3n2)c1,80,nM,7.096910013,5.93,7,1,532.73,2,63,39,CHEMBL4190398,CHEMBL4211688,-8.39,-8.974,-9.5719576
COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OC1CC2(C1)CN(C(C)C)C2,c1coc(-c2cc(NC3CCNCC3)c3ccc(OC4CC5(CNC5)C4)cc3n2)c1,83,nM,7.080921908,5.57,7,1,504.68,2,63,37,CHEMBL4190398,CHEMBL4215862,-8.72,-10.563,-9.7848387
COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCC1CCN(C)CC1,c1coc(-c2cc(NC3CCNCC3)c3ccc(OCC4CCNCC4)cc3n2)c1,83,nM,7.080921908,5.04,7,1,478.64,1,63,35,CHEMBL4190398,CHEMBL4203133,-8.32,-9.59,-9.020031
COc1cc2c(NC3CCC34CCN(C)CC4)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1coc(-c2cc(NC3CCC34CCNCC4)c3ccc(OCCCN4CCCC4)cc3n2)c1,123,nM,6.910094889,5.96,7,1,518.7,2,63,38,CHEMBL4190398,CHEMBL4208812,-8.69,-9.475,-9.5926991
COc1cc2c(NC3CCNCC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1coc(-c2cc(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,137,nM,6.863279433,4.84,7,2,464.61,0,71.79,34,CHEMBL4130634,CHEMBL4163329,-8.17,-9.162,-9.1556883
COc1cc2c(NC3CC4(CCN(C)CC4)C3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1coc(-c2cc(NC3CC4(CCNCC4)C3)c3ccc(OCCCN4CCCC4)cc3n2)c1,140,nM,6.853871964,5.96,7,1,518.7,2,63,38,CHEMBL4190398,CHEMBL4206035,-9.14,-9.734,-9.8518219
COc1cc2c(NCC3CCN(Cc4ccc(C(=O)NO)cc4)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1ccc(CN2CCC(CNc3cc(-c4ccco4)nc4cc(OCCCN5CCCC5)ccc34)CC2)cc1,167,nM,6.777283529,6.12,9,3,627.79,2,112.33,46,CHEMBL4834403,CHEMBL4856184,-9.56,-9.959,-10.799445
COc1cc2c(NC3CC4(CCN(C(C)C)CC4)C3)cc(-c3ccc(C)o3)nc2cc1OC1CC2(C1)CN(C)C2,c1coc(-c2cc(NC3CC4(CCNCC4)C3)c3ccc(OC4CC5(CNC5)C4)cc3n2)c1,187,nM,6.728158393,6.35,7,1,544.74,2,63,40,CHEMBL4190398,CHEMBL4216593,-8.27,-10.694,-9.4456177
COc1cc2c(NC3CC4(CCN(C)CC4)C3)cc(-c3ccc(C)o3)nc2cc1OCC1CCN(C)CC1,c1coc(-c2cc(NC3CC4(CCNCC4)C3)c3ccc(OCC4CCNCC4)cc3n2)c1,200,nM,6.698970004,5.82,7,1,518.7,2,63,38,CHEMBL4190398,CHEMBL4213346,-8.35,-10.388,-9.573844
COc1cc2c(NC3CC4(CCN(C)C4)C3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1coc(-c2cc(NC3CC4(CCNC4)C3)c3ccc(OCCCN4CCCC4)cc3n2)c1,201,nM,6.696803943,5.57,7,1,504.68,2,63,37,CHEMBL4190398,CHEMBL4216144,-8.73,-9.669,-9.9979057
COc1cc2c(NCC3CCN(C(C)C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1coc(-c2cc(NCC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,205,nM,6.688246139,6.21,7,1,520.72,2,63,38,CHEMBL4190398,CHEMBL4203647,-7.99,-9.48,-10.054771
COc1cc2c(NC3CC4(CCN(C(C)C)CC4)C3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1coc(-c2cc(NC3CC4(CCNCC4)C3)c3ccc(OCCCN4CCCC4)cc3n2)c1,211,nM,6.675717545,6.74,7,1,546.76,2,63,40,CHEMBL4190398,CHEMBL4204482,-8.33,-9.207,-10.006438
CCc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCC5(CC5)C4)cc3n2)o1,c1coc(-c2cc(NC3CCNCC3)c3ccc(OCCCN4CCC5(CC5)C4)cc3n2)c1,212,nM,6.673664139,5.83,7,1,518.7,2,63,38,CHEMBL4190398,CHEMBL4205136,-8.31,-9.536,-9.838975
CCc1ccc(-c2cc(NC3CCC34CCN(C)CC4)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1,c1coc(-c2cc(NC3CCC34CCNCC4)c3ccc(OCCCN4CCCC4)cc3n2)c1,220,nM,6.657577319,6.22,7,1,532.73,2,63,39,CHEMBL4190398,CHEMBL4203933,-8.76,-9.28,-9.7152939
